CA Skateparks!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,City,County,Address,Free,Lights,Helmet/Pads,Notes,Exist,Visited,Column1,,,,,,,
Air Skatepark,Santa Maria,Santa Maria County,2200 S. College Drive,,,Y,,,52,,,,,,,,
Santa Rosa Skatepark,San Luis Obispo,San Luis Obispo County,Santa Rosa and Oak Streets,Y,Y,N,,,53,,,,,,,,
Taft Skatepark,Taft,Kern County,Kern Street and 10th,Y,Y,N,,,54,,,,,,,,
Lafayette Safe Spot Skate Spot,Los Angeles,Los Angeles County,"601 S La Fayette Park Pl,",Y,N,N,,,55,,,,,,,,
Diamond Bar Skatepark,Diamond Bar,Los Angeles County,24142 Sylvan Glen Road,Y,,Y,,,56,,,,,,,,
Lincoln Skatepark,Los Angeles,Los Angeles County,3501 Valley Blvd,Y,N,N,,,57,,,,,,,,
Westchester Skatepark,Los Angeles,Los Angeles County,7000 West Manchester Ave.,Y,Y,N,,,58,,,,,,,,
Rosemead Park Skateaprk,Rosemead,Los Angeles County,Rosemead Park,Y,N,N,,,59,,,,,,,,
Pico Rivera Skatepark,Pico Rivera,Los Angeles County,6016 Rosemead Blvd.,Y,,Y,,,60,,,,,,,,
Belvedere Skatepark,East Los Angeles,Los Angeles County,4914 E. CESAR CHAVEZ AVE.,Y,Y,Y,,,61,,,,,,,,
Cherry Skatepark,Long Beach,Los Angeles County,130 Cherry Ave.,Y,N,N,Met Matt Miller!,,62,,,,,,,,
Houghton SkatePark,Long Beach,Los Angeles County,6301 Myrtle Ave,Y,Y,Y,,,63,,,,,,,,
MLK JR SKATE PARK,Pomona,Los Angeles County,"Martin Luther King Jr Memorial Park, Pomona, CA 91766",Y,N,N,,,64,1,,,,,,,
Doyle Skate Park,Norwalk,Los Angeles County,12200 Sproul St.,Y,Y,N,,,65,,,,,,,,
El Segundo Skate Park,El Segundo,Los Angeles County,E GRAND AVE and EUCALYPTUS DR,,Y,Y,,,66,,,,,,,,
Montebello Skatepark,Montebello,Los Angeles County,1300 Whittier Blvd.,Y,N,Y,,,67,,,,,,,,
Deer Park,Monrovia,Los Angeles County,500 grand ave,Y,N,N,Attempted 19 stair rail,,68,,,,,,,,
Westlake Village Skatepark,Westlake Village,Los Angeles County,Lindero Canyon Road,Y,N,,,,69,1,,,,,,,
